0,1,2,3,4,5,6,7
10627109,完整投影片,NA,NA,NA,NA,NA,NA
10627109,完整投影片,NA,NA,NA,NA,NA,NA
10627109,完整投影片,測驗,完整投影片,完整教材錄影,NA,NA,NA
10627109,完整教材錄影,課程相關疑難釋疑含相關規定,完整投影片,NA,NA,NA,NA
10627109,完整投影片,重點整理,完整教材錄影,教材下載,NA,NA,NA
10627109,教材下載,相關規定,NA,NA,NA,NA,NA
10627110,完整投影片,完整教材錄影,完整投影片,NA,NA,NA,NA
10627110,完整投影片,測驗,完整教材錄影,完整投影片,完整教材錄影,完整投影片,重點整理
10627110,重點整理,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA
10627111,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影
10627111,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627111,完整投影片,討論,完整投影片,重點整理,NA,NA,NA
10627111,重點整理,NA,NA,NA,NA,NA,NA
10627111,重點整理,完整投影片,完整教材錄影,NA,NA,NA,NA
10627112,考古題,完整投影片,完整教材錄影,完整投影片,完整教材錄影,NA,NA
10627113,完整教材錄影,討論,NA,NA,NA,NA,NA
10627113,完整教材錄影,重點整理,完整教材錄影,NA,NA,NA,NA
10627114,完整教材錄影,NA,NA,NA,NA,NA,NA
10627114,完整教材錄影,討論,測驗,討論,NA,NA,NA
10627114,討論,完整教材錄影,討論,完整投影片,NA,NA,NA
10627114,完整教材錄影,討論,NA,NA,NA,NA,NA
10627114,討論,NA,NA,NA,NA,NA,NA
10627114,討論,完整教材錄影,NA,NA,NA,NA,NA
10627115,考古題,NA,NA,NA,NA,NA,NA
10627115,考古題,完整教材錄影,NA,NA,NA,NA,NA
10627115,討論,NA,NA,NA,NA,NA,NA
10627115,完整教材錄影,NA,NA,NA,NA,NA,NA
10627116,完整教材錄影,完整投影片,完整教材錄影,完整投影片,NA,NA,NA
10627116,完整投影片,完整教材錄影,完整投影片,完整教材錄影,NA,NA,NA
10627116,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627116,完整投影片,NA,NA,NA,NA,NA,NA
10627116,完整投影片,完整教材錄影,完整投影片,NA,NA,NA,NA
10627116,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10627117,測驗,完整教材錄影,NA,NA,NA,NA,NA
10627117,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10627117,完整投影片,NA,NA,NA,NA,NA,NA
10627118,完整投影片,NA,NA,NA,NA,NA,NA
10627118,完整投影片,完整教材錄影,討論,完整教材錄影,重點整理,NA,NA
